利用日付,利用時間,利用曜日,利用者ID,利用者名,身分,部局,連携用コード,学年,利用装置,判定結果
2016/06/01,08:46:04,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:48:46,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,08:48:55,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,08:49:31,水曜日,,,大学院生,教育情報学,,M2,入館ゲート1,許可
2016/06/01,08:49:44,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,08:50:52,水曜日,,,大学院生,経済学部,,M2,入館ゲート2,許可
2016/06/01,08:51:17,水曜日,,,学生,文学部,,4,入館ゲート1,許可
2016/06/01,08:51:35,水曜日,,,学生,文学部,,4,入館ゲート2,許可
2016/06/01,08:51:46,水曜日,,,学生,経済学部,,,入館ゲート1,許可
2016/06/01,08:52:48,水曜日,,,学生,経済学部,入館可,2,入館ゲート1,許可
2016/06/01,08:52:52,水曜日,,,学生,文学部,入館可,2,入館ゲート1,許可
2016/06/01,08:53:16,水曜日,,,学生,法学部,,3,入館ゲート1,許可
2016/06/01,08:54:05,水曜日,,,学生,教育学部,入館可,2,入館ゲート1,許可
2016/06/01,08:54:45,水曜日,,,学生,理学部,,2,入館ゲート2,許可
2016/06/01,08:55:51,水曜日,,,学生,文学部,,2,入館ゲート1,許可
2016/06/01,08:56:00,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:56:04,水曜日,,,学生,文学部,,2,入館ゲート2,許可
2016/06/01,08:56:11,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:56:11,水曜日,,,学生,法学部,入館可,4,入館ゲート2,許可
2016/06/01,08:57:52,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:58:07,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:58:24,水曜日,,,学生,薬学部,,2,入館ゲート2,許可
2016/06/01,08:59:34,水曜日,,,学生,法学部,,,入館ゲート1,許可
2016/06/01,09:00:27,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,09:01:47,水曜日,,,学生,教育学部,,3,入館ゲート2,許可
2016/06/01,09:02:24,水曜日,,,学生,法学部,,4,入館ゲート2,許可
2016/06/01,09:03:08,水曜日,,,学生,経済学部,,,入館ゲート2,許可
2016/06/01,09:03:18,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,09:04:19,水曜日,,,学生,文学部,,2,入館ゲート2,許可
